evidence_id,record_type,record_id,field_name,source_id,source_url,observed_at,snippet,selector,confidence,content_sha256,parser_version,attribution
c291d455-1d20-52ff-b480-0d02a00ac98e,job,076a61c6-5bde-5b5b-892c-b6dcef2a7368,record,remoteok,https://remoteOK.com/remote-jobs/remote-oracle-fusion-cloud-lead-logistics-supply-chain-management-tessera-labs-1137155,2026-08-28 21:38:35.836927+05:45,Oracle Fusion Cloud Lead â Logistics & Supply Chain Management | Worldwide,,0.95,,0.1.0,Remote OK — link to the original Remote OK job page.
687ef393-f6ac-563e-b4da-7a9eb62ccb2f,job,09fd74a1-086c-5191-ac01-f1b6405fe462,record,remoteok,https://remoteOK.com/remote-jobs/remote-senior-governance-risk-and-compliance-analyst-rainfocus-1137061,2026-08-28 21:38:35.838926+05:45,"Senior Governance Risk and Compliance Analyst | Orem, UT",,0.35,,0.1.0,Remote OK — link to the original Remote OK job page.
b6847748-0688-5a62-aa71-114cb1de9af9,job,172c9ada-b801-5d14-b6cf-bf2581a303c8,record,remoteok,https://remoteOK.com/remote-jobs/remote-people-director-sisal-hub-albania-1137175,2026-08-28 21:38:35.835922+05:45,"People Director | Tirana,",,0.35,,0.1.0,Remote OK — link to the original Remote OK job page.
b85027c1-37c8-598a-9ef7-d4cd55b43cce,job,2dd71f88-5b58-51d3-8b50-f86904305275,record,remotive,https://remotive.com/remote-jobs/software-development/senior-qa-engineer-2091100,2026-08-28 21:38:32.023543+05:45,Senior QA Engineer | Europe,,0.65,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
95380eb7-4351-5262-999a-b8b1c9262d46,job,3b6fd25e-3636-57b8-b956-a3a675662a81,record,remotive,https://remotive.com/remote-jobs/sales/sales-jedi-2091088,2026-08-28 21:38:32.023543+05:45,Sales Jedi | Europe,,0.95,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
705882be-3506-5371-af5c-bae4d268fdf2,job,46f535e0-8418-5616-af1e-82892b97fcff,record,remoteok,https://remoteOK.com/remote-jobs/remote-estimator-brisbane-mcnab-1137047,2026-08-28 21:38:35.839926+05:45,"Estimator Brisbane | West End,",,0.35,,0.1.0,Remote OK — link to the original Remote OK job page.
95c9164a-5aaf-5423-8cea-47ee707257ed,job,487631fb-1fe9-5f10-9850-76f472f09301,record,remoteok,https://remoteOK.com/remote-jobs/remote-ap-accountant-bosta-1137124,2026-08-28 21:38:35.837926+05:45,"AP Accountant | Maadi,",,0.35,,0.1.0,Remote OK — link to the original Remote OK job page.
41a537c2-b393-5207-8d21-b3a7a3b9d077,job,4ad2003a-78de-5cbf-871d-835f335fb3c8,record,remoteok,https://remoteOK.com/remote-jobs/remote-post-office-manager-shoppers-drug-mart-1137063,2026-08-28 21:38:35.839926+05:45,"Post Office Manager | Kitchener,",,0.35,,0.1.0,Remote OK — link to the original Remote OK job page.
c6f5b4a6-8b18-5e70-80f7-68fc01be8387,job,4de654e7-3a74-5839-85f1-1b54332df5a6,record,remoteok,https://remoteOK.com/remote-jobs/remote-desarrollador-full-stack-kruger-nearshore-llc-rekluti-1137062,2026-08-28 21:38:35.838926+05:45,DESARROLLADOR FULL STACK | Worldwide,,0.95,,0.1.0,Remote OK — link to the original Remote OK job page.
00bedf9e-2cd2-5d2f-b217-9fd4017da328,job,5613acc9-fb9f-5c92-9e4a-00c5387b61db,record,remotive,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-08-28 21:38:32.023543+05:45,"Tech Lead Full-Stack Rails Engineer | USA, Canada, USA timezones",,0.35,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
bc2429e0-f6c5-5918-a9b1-896343e7da67,job,5669e4e4-3239-59ab-88c0-9a373cdcaa74,record,remoteok,https://remoteOK.com/remote-jobs/remote-beauty-merchandiser-shoppers-drug-mart-1137055,2026-08-28 21:38:35.839926+05:45,"Beauty merchandiser | Kingston,",,0.35,,0.1.0,Remote OK — link to the original Remote OK job page.
a56292a6-85c5-5554-b154-fe952a3125da,job,56e6e825-f48c-5100-90c6-df3337edbf6f,record,remotive,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,2026-08-28 21:38:32.023543+05:45,"Senior Independent AI Engineer / Architect | Americas, Europe, Israel",,0.65,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
844f436b-4ea3-554c-b56e-dd5542b32d1a,job,57006d6d-9e6e-57f7-ab71-5fab34ce504c,record,remoteok,https://remoteOK.com/remote-jobs/remote-senior-specialist-global-qms-orca-bio-1137072,2026-08-28 21:38:35.838926+05:45,Senior Specialist Global QMS | Worldwide,,0.95,,0.1.0,Remote OK — link to the original Remote OK job page.
fbcf2e6a-b228-56f1-89a2-ef034f7dae6f,job,5a29404c-796f-5a25-a4e7-dac51b3aae30,record,remoteok,https://remoteOK.com/remote-jobs/remote-project-systems-specialist-dart-1137069,2026-08-28 21:38:35.839926+05:45,"Project Systems Specialist | George Town,",,0.35,,0.1.0,Remote OK — link to the original Remote OK job page.
e7401005-a5e6-5f8d-aedc-042cb80242f0,job,62f3e3e0-260a-5e0f-bafd-3c407a53a86d,record,remotive,https://remotive.com/remote-jobs/marketing/head-of-marketing-communications-2091068,2026-08-28 21:38:32.023543+05:45,Head of Marketing & Communications | Worldwide,,0.95,,0.1.0,Remotive — link back to the Remotive listing; feed is delayed by 24 hours.
